Title,Description,Priority,Estimate,Labels,State
"[Feature] Sistema de Invitaciones - Frontend","Completar el frontend del sistema de invitaciones para que el flujo completo funcione. El backend está casi completo, solo faltan tests de integración. Tareas: Página de aceptación de invitación, Lista de invitaciones pendientes, Mejorar dialog de invitación",High,8,"type:feature,component:frontend,component:backend,priority:high",Todo
"[Feature] Frontend - Página de Detalle de Organización","Crear página completa de detalle de organización para mejorar la UX. Tareas: Crear ruta /settings/organizations/[id], Vista completa de detalles, Sección de usuarios, Estadísticas de uso visuales",High,8,"type:feature,component:frontend,priority:high",Todo
"[Improvement] Frontend - Mejorar Página de Organizaciones","Limpiar código duplicado y mejorar visualización de organizaciones. Tareas: Limpiar código duplicado, Mostrar estadísticas en tabla, Agregar botón Ver Detalles, Filtros y búsqueda",High,4,"type:improvement,component:frontend,priority:high",Todo
"[Feature] Frontend - Validación de Límites en UI","Mostrar límites vs usados y alertas cuando se acerca al límite. Tareas: Crear componente LimitIndicator, Integrar en páginas de creación, Alertas y mensajes de upgrade",High,4,"type:feature,component:frontend,priority:high",Todo
"[Testing] Testing y Calidad","Aumentar cobertura de tests y agregar tests E2E. Tareas: Tests unitarios adicionales, Tests de integración, Tests E2E frontend, Objetivo: 60%+ cobertura",Medium,35,"type:testing,component:backend,component:frontend,priority:medium",Todo
"[Performance] Optimizaciones de Rendimiento","Optimizar queries, implementar caché y mejorar rendimiento. Tareas: Optimización de queries, Caché (BCR, dashboard), Paginación, Lazy loading frontend",Medium,32,"type:performance,component:backend,component:frontend,priority:medium",Todo
"[Technical Debt] Precisión Financiera - Completar Migración","Completar migración de código legacy a usar Money y dinero.js. Tareas: Actualizar currency.py, Migrar servicios restantes, Migrar componentes frontend",Medium,40,"type:technical-debt,component:backend,component:frontend,priority:medium",Todo
"[Documentation] Documentación API","Completar documentación OpenAPI/Swagger. Tareas: Documentación completa, Ejemplos de requests/responses, Documentación de autenticación, Guía de integración",Medium,8,"type:documentation,component:api,priority:medium",Todo
"[Feature] Dashboard - KPIs Avanzados","Agregar KPIs avanzados al dashboard. Tareas: Tasa de conversión, Valor promedio por proyecto, Tendencias temporales, Gráficos mejorados, Exportación de reportes",Low,24,"type:feature,component:frontend,priority:low",Todo
"[Feature] Integraciones Externas Completas","Completar integraciones con servicios externos. Tareas: Google Sheets (importación masiva), Google Calendar, Apollo.io (autocompletado), UI para gestionar integraciones",Low,40,"type:feature,component:backend,component:frontend,priority:low",Todo
"[DevOps] Infraestructura para Producción","Setup completo de infraestructura para producción. Tareas: CI/CD completo, Ambientes staging/producción, Monitoreo y alertas, Backup automático, Health checks",Low,40,"type:devops,component:infrastructure,priority:low",Todo
"[Security] Seguridad Avanzada","Implementar medidas de seguridad avanzadas. Tareas: Rate limiting, Validación de inputs estricta, Protección CSRF, Auditoría de seguridad, Encriptación de datos sensibles",Low,40,"type:security,component:backend,priority:low",Todo
